chart_date,track_id,track_name,streams,position,release_date,album_id,artist_id,artist_name,genres,followers,chart_date_year,chart_date_month,chart_date_day,release_date_year,release_date_month,release_date_day,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,predicted_genre_id,predicted_genre,genre_probabilities,predicted_genre_proba
2017-01-01,1MkiRsYBkXbXvdiYvTTiQT,Someday,18997,96,2006-08-23,1yx0lKqG8Z1J3IOxx4gbzs,2tQbSWgZLIB8MXMnsXVRro,Nina,['opm'],678820,2017,1,1,2006,8,23,0.941,0.556,214773,0.212,0.0,6,0.0982,-11.197,1,64,0.0406,133.392,0.514,3,opm senti,"[0.12, 0.14, 0.19, 0.55]",0.55
2017-01-01,6xQs6y6CpDqK9VKCktApEL,Hiling,18928,98,2015-01-15,6E5TwOXhw6KyhX4P0p9vdK,2JEIN1g27pZdm3hKB9EwE5,Mark Carpio,['opm'],180691,2017,1,1,2015,1,15,0.808,0.58,235009,0.244,0.0,4,0.092,-9.917,1,62,0.0361,82.121,0.385,3,opm senti,"[0.07, 0.01, 0.11, 0.81]",0.81
2017-01-01,6C2nrsOlb3jOUGcJAmPrTA,Tell Me Where It Hurts,18925,99,2005-03-10,6bfrwiC19nEjAwGN98un6f,5elcNQkZ6FCZA3grSOMngY,MYMP,['opm'],1165050,2017,1,1,2005,3,10,0.702,0.726,253013,0.542,0.0,7,0.0962,-7.952,1,0,0.042,89.583,0.396,1,opm rap,"[0.14, 0.7, 0.1, 0.06]",0.7
2017-01-01,3VcVQmMivq2ISfKUmIuvMK,Rainbow,17547,103,2005-01-01,6bMej3xtNOTiiHLdhR4wzX,6ZgBJRjJsK1iOJGKGZxEUv,South Border,['opm'],1035498,2017,1,1,2005,1,1,0.425,0.66,347120,0.224,2.02e-06,5,0.101,-13.426,1,63,0.0307,88.011,0.382,3,opm senti,"[0.06, 0.05, 0.27, 0.62]",0.62
2017-01-01,4ZgZPrrSLi4sIiFkiahuxq,Hanap-Hanap,17529,104,2015-02-14,69NVydj9miAmq0cDe4nMnt,24fEOzlKhgSNLIcy9NdmwH,James Reid,"['deep neofolk', 'opm', 'pinoy r&b']",336959,2017,1,1,2015,2,14,0.424,0.714,201653,0.695,0.0,9,0.306,-4.614,1,0,0.0396,94.99,0.669,0,opm p-pop,"[0.58, 0.07, 0.28, 0.07]",0.58
2017-01-01,2S80c51YXgJQhkhX603fMA,Prinsesa,17516,105,2007-01-15,1Im5BTDBghgM0NG75SaiC3,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,['opm'],1316159,2017,1,1,2007,1,15,0.305,0.853,267293,0.455,0.00329,1,0.125,-9.589,1,62,0.0372,118.32,0.522,1,opm rap,"[0.25, 0.45, 0.05, 0.25]",0.45
2017-01-01,39V6cEoNFwDFRJEOKyj4OR,Let Me Be the One,17012,110,2012-01-01,7xq2b0gkMRI47DCek284HB,4NeCu267LZemnoq44lZYKy,Julie Anne San Jose,['opm'],819507,2017,1,1,2012,1,1,0.643,0.587,280413,0.396,0.0,10,0.106,-8.722,1,52,0.0399,123.873,0.207,3,opm senti,"[0.02, 0.12, 0.07, 0.79]",0.79
2017-01-01,2qqte0XT0eFFVLuNP7Qena,Paano Ba Ang Magmahal,16486,113,2015-01-01,7mYRZAqHFz96uRPCi6yEUi,2GqX0GnrKdi6Z2X2OReYOK,Piolo Pascual,['opm'],234395,2017,1,1,2015,1,1,0.509,0.544,290246,0.583,0.0,0,0.0436,-6.446,1,6,0.0314,144.052,0.157,2,opm rock,"[0.11, 0.1, 0.66, 0.13]",0.66
2017-01-01,1VvFtp71ibaXiHxurBlXuw,Before I Let You Go,15654,114,1998-09-26,4VSBpjPHkZWpjr5m07AzZP,0jarApAsbmiCkYhz0590mE,Freestyle,['opm'],310129,2017,1,1,1998,9,26,0.169,0.66,289266,0.353,0.0,4,0.138,-12.108,1,0,0.0347,120.084,0.0812,3,opm senti,"[0.12, 0.03, 0.16, 0.69]",0.69
2017-01-01,1A40ESJJPEEJrqjC9BUO2B,So Slow,14971,125,1998-09-26,4VSBpjPHkZWpjr5m07AzZP,0jarApAsbmiCkYhz0590mE,Freestyle,['opm'],310129,2017,1,1,1998,9,26,0.52,0.727,275906,0.329,0.0,0,0.0899,-9.09,1,0,0.0347,106.202,0.401,3,opm senti,"[0.09, 0.28, 0.17, 0.46]",0.46
